,text,is_cont
28,"BCCI President Sourav Ganguly condemned by fans for endorsing Arnab Goswami's new TV channel, called 'shameless'
#SouravGanguly #ArnabGoswami
https://t.co/sIymH6FJxo",1
29,"Why do you do this @republic @ArnabGoswamiRTv ?
The nation wants to know 🥸😠😹

#arnabgoswami #republictv #arnabgoswamimemes #arnabgoswamidebate #republictvdebate #bjp #bjpvscongress #bjpindia #inc #bjpvsinc https://t.co/kOY0GqkTa9",1
30,#QAnon fans push back #Trump's 'real inauguration' after March 4 a bust https://t.co/81oaqiwzVt,1
31,Rick Roberts: Operation Distraction -- How the #Democrats use the #CapitolRiots and #QAnon to take your attention away from #PresidentBiden train wreck of an administration. Dan Mandis sits in for Rick Roberts on NewsTalk 820 @WBAP247NEWS ... https://t.co/orf9cJxiU3 https://t.co/vDx8f2dGOL,1
32,"The #QAnon Shaman says he ""identified with a lot of the negative things (Trump) was going through""
https://t.co/beAUr0NLmu",1
33,"Why white supremacists and #QAnon enthusiasts are obsessed – but very wrong – about the Byzantine Empire. --The real, historical Byzantium was racially and culturally diverse.  https://t.co/SyWkjMSDKN via @ConversationUS Putin's trolls created #Q and are laughing their heads off.",1
34,"That @60Minutes (+) interview with Jake Angeli, the #QAnon shaman came up in a federal court hearing today. The judge was not happy. https://t.co/tOt62dRU1S",1
35,"Guyz, I just seen a black cat. #qanon",0
36,"Just saw that today is a #NationalDayofUnplugging—a great reminder to take a step back &amp; reset. It’s important we recognize the toxicity on social media &amp; unplug that rage machine—a sentiment I shared back in May re: misinformation, lies, &amp; #QAnon: https://t.co/mapxGSlH3n",1
37,Did the inauguration happen yesterday? I missed it and can't seem to find any video or news about it 🤣😂🤣#InaugurationDay #Inauguration2021 #Qanon https://t.co/918Oxayn0b,1
38,"#QAnon theorists switch date to March 20 after no #Trump inauguration, call the 4th ""false flag""

https://t.co/RQlXcAJGg4 via @Newsweek",1
39,"Here’s to hoping all those #QAnon cultists believing #Trump would be inaugurated the 19th POTUS all go the way of the #HeavensGate #cult
@RepMTG @laurenboebert",1
40,Hey #QAnon’ers...another big date passes without the big conspiracy coming true. When do you start feeling that you’ve been lied to?,1
41,"Coup Attempts 

Jan 6th - failed
Mar 4th - failed

Joe Biden is still President. 

Sorry #MAGA and #Qanon terrorists.",1
42,It looks like much more analysis of threats is needed beyond just reviewing #QAnon chatter to assess what is an appropriate response🤔#March4th #TrumpInauguration https://t.co/lNNAvR4nWC,1
43,"#QAnon #TrumpInauguration Update:
They weren’t talking about #March4th on the JULIAN Calendar..they were NEVER talking about the Julian..they were always talking about the Gregorian..
and in the Gregorian, March 4th falls on March 17th...
...#HappyStPatricksDay!

#FakeNews",1
44,"Just like those folks who keep switching the date of the ""end of the world"" ....#QAnon theorists switch date to March 20 after no Trump inauguration, call the 4th ""false flag"" https://t.co/YouYRHRj3d",1
45,#QAnon conspiracy theorists are trying to figure why former President Donald Trump did not return to power Thursday.,1
46,"Donald #Trump is not president. Not Jan 20, not today, not ever. No matter how many new 'dates' they come up with. Face it, #QAnon'ers, the biggest 'hoax' of all is the one that's been played on you. You've been had. You've believed them, were loyal to them, but it's all a lie...",1
47,"Biden is still President, right?  #QAnon #Bs",1
48,"“If it doesn’t happen, we’ll obviously be sad ‘cause it didn’t happen while we were here, but we believe that it will happen. It just hasn’t happened yet,” Karyn Carson told @Reuters outside the #Capitol. 
@Reuters #QAnon #Trump https://t.co/O9OEcDLxsj",1
49,#QAnon after another magical inauguration date passes. https://t.co/Ps44k2Axzd,1
50,"Ok, now that March 4 has passed without the God King of #QAnon being inaugurated amid a military insurrection, time for Q to do what Q does best. https://t.co/uPa7NRtpff",1
51,"Quiet at the Capitol. No #Qanon no protests but plenty of National Guard, guns, barriers, razor wire and fencing. It’s a shame this is our reality now. The fear of threats is real even if they are just threats https://t.co/KH46NPU5Rk",1
52,Some followers of the #QAnon conspiracy think Donald Trump will return to power today. Here's why- including interviews with two former followers whose lives were ripped apart by the movement.  Our 📺 piece https://t.co/nsakOYLQh2 and some more background https://t.co/o1hJRgqDq7,0
53,"Qanon Shaman is far from innocent. 
#qanonshaman #jakeangeli #qanon #QAnonCult #capitolriots #60minutes https://t.co/QSymD5pLmd",1
54,"Washington DC on high alert after FBI shares info that #QAnon-backed #militia was planning a 4 March riot on the #Capitol Building, believing today would be the day Donald #Trump would be made #President.
https://t.co/S6AeiQavN5 #capitolriots #USA #Washington",0
55,"Hey #QAnon'ers...#Trump is not gonna be president today. Just like Jan 20 came &amp; went w/o him being prez. ""Q"" can keep changing the dates, but the same thing is gonna happen. You've been duped. It's time to let go. Come back &amp; join us. We'll welcome you...no questions asked...",1
56,Police bolster security at US Capitol as #QAnon theory claims Trump will become president March 4 https://t.co/nQ2b8AwQbF via @usatoday,0
57,Why do #QAnon supporters think Trump will return as US president on 4th March? https://t.co/7oN80oo0CN,1
58,"US Capitol on high alert due to threats from extremists; @FBI and Capitol Police weary of a plot driven by #QAnon conspiracy theories. @ABC News Crime/Terrorism Analyst @BradInvestigate joined @AprilZesbaugh and @MartyLenz_KOA on ""Colorado's Morning News.""
https://t.co/020QzIHTfv",0
59,Why do #QAnon supporters think Trump will return as US president today? https://t.co/3sM0rAng1Z,1
60,"Heightened security, tensions around the U.S. Capitol building this morning due to what police in D.C. are calling a ""possible plot"" to storm the building today. https://t.co/k1CBj4nZdz #DC #CapitolRiots #Qanon #Capitol #USCapitol",0
61,#QAnon is going to feel stupid(er) around about 11:59pm.,0
62,"Ppl down the rabbit hole of #disinformation &amp; #conspiracy theories, like #qanon, believe #Trump will be reinaugurated today, &amp; a cabal of satanic pedophiles will be arrested/executed.
We listen as an “exit counselor“/#cult #Deprogrammer tries to help. 
https://t.co/vkHYE1rE6V",1
63,"#cult #deprogrammers /Exit counselors help ppl who’ve fallen down the rabbit hole of #disinformation &amp; #conspiracy theories, like #qanon.
“Some..things...being spread abt babies being eaten &amp; things, I don't think...are true, personally.""
""Um, I do!"" 
https://t.co/vkHYE1rE6V",1
64,Tired of trusting the #QAnon con? Get yourself some mental health treatment with the Obamacare coverage you have been complaining about.,1
65,"#US #Capitol on alert over 'possible plot' for March 4 attack

#QAnon 

https://t.co/rX5lDpAWww https://t.co/EK5L3ycklb",0
66,"""People's lives are completely turned upside down."" 12 News Investigates #QAnon's toll on Wisconsin families. One man comes forward about the grip the conspiracy has on his sibling. Watch #WISN12 News, Tonight at 10.  @mattsmith_news https://t.co/0FrkPIIxgd",1
67,"Living in America as a Democrat among people deluded by Fox, Newsmax, OANN, Trump, the GQP, and #Qanon social media. https://t.co/fKO750CvUy",1
68,I don’t want #QAnon to win. We shouldn’t be afraid of them attacking the Capital tomorrow. It’s our country &amp; we have laws &amp; security. Our #NationalGuard could protect our capital &amp; members of Congress. Congress members must feel safe.,1
69,"""It's just like they were brainwashed."" #QAnon conspiracies are tearing one local family apart. Now, one man shares his story. Telling us how QAnon has affected his family, and where he's turning for support. #WISN12 News Investigates, Tonight at 10. @mattsmith_news https://t.co/6w2Vpi2MRY",1
70,"✨Happening Now!✨@schanzerdavid director of Duke's Triangle Center on Terrorism and Homeland Security is joined by extremism experts @AmarAmarasingam &amp; @MiaMBloom to discuss #QAnon

⬇️Not too late to Join⬇️
https://t.co/MZTOaP1zOO https://t.co/jgnoTtIJU5",0
71,"Capitol Police say they have uncovered intelligence of a ""possible plot"" by a militia group to breach the U.S. Capitol on Thursday, connected to a #QAnon conspiracy theory. https://t.co/lQNT8qPIgf",0
72,"""People's lives are completely turned upside down."" 12 News Investigates #QAnon's toll on Wisconsin families. One man comes forward about the grip the conspiracy has on his sibling. Watch #WISN12 News, Tonight at 10.  @mattsmith_news https://t.co/TRysmhAhbi",1
73,"Never thought I’d have to utter these words on TV. #QAnon made me do it.
“There is no evidence whatsoever that Hollywood is doing blood sacrifices of children” https://t.co/uZHcP61FVA",1
74,"#NEW: Police uncover what they call information of a ""possible"" threat to the U.S. #Capitol. https://t.co/k1CBj4nZdz #Qanon",0
75,"We've updated our #QAnon story to include a warning from the US Capitol Police that they have intelligence suggesting a militia may try to breach the Capitol tomorrow.

March 4 is a date that has significance for some QAnoners

https://t.co/xDZ9VB0yJh",1
76,"""It's just like they were brainwashed."" #QAnon conspiracies are tearing one local family apart. Now, one man shares his story. Telling us how QAnon has affected his family, and where he's turning for support. #WISN12 News Investigates, Tonight at 10. @mattsmith_news https://t.co/Zq9FoeTxMm",1
77,"#DCpolice, #FBI on alert ahead of #QAnon's 'true Inauguration Day' https://t.co/LEo0GYQqWw",0
78,"Here we go again, this headline should also read ""dealing with mental illness &amp; cult programming"" 👉Capitol Police beefing up security this week amid 'concerning' intelligence  https://t.co/OcbU4VPKFu #MAGA #Qanon #March4",1
79,"I think @RepTomEmmer is correct --the GOP will take back the House. I've said this for some time.  Election integrity messaging &amp; pro-Trump candidates could do well in certain districts. #QAnon craziness &amp; 1/6 #CapitolRiots won't matter to many GOP voters

https://t.co/R0lfFOEUWv",1
80,"LATEST: Capitol police are boosting security for March 4, a date that has taken on meaning for some #Qanon  believers, but Q boosters are playing down the date, saying it’s a false flag:  https://t.co/xDZ9VB0yJh",0
81,"QAnon believers say any day in March the former President Donald Trump will be inaugurated as President once again.
#QAnon #Trump 

https://t.co/dOgIqU11pW",1
82,Raise your hand if you think Trump will be sworn back in as President this week.  #qanon #conspiracy https://t.co/ItSIMf3MKb,0
83,"""It's just like they were brainwashed."" #QAnon conspiracies are tearing one local family apart. Now, one man shares his story. Telling us how QAnon has affected his family, and where he's turning for support. #WISN12 News Investigates, Tomorrow night at 10.  @mattsmith_news https://t.co/6uVAdrGdF2",1
84,"""People's lives are completely turned upside down."" 12 News Investigates #QAnon's toll on Wisconsin families. One man comes forward about the grip the conspiracy has on his sibling. Watch #WISN12 News, Tomorrow night at 10. https://t.co/QdeJXl23W4",1
85,"Hey #QAnon'ers: if there's so much ""evidence"" of Dems like @HillaryClinton @TomHanks @Oprah (a 'cabal' supposedly broken up by your Godly warrior #Trump) drinking the blood of children, how come they're all still free &amp; there's ZERO reports of it on CNN, MSNBC, Fox, OANN/Newsmax?",1
86,Capitol on alert as #QAnon pushes theory Trump will be made president in 3 days https://t.co/HP2YhuWnUP,0
87,#Republicans support indecency-- Went Full #QAnon at @CPAC https://t.co/OPFkHgQwn1 via @vicenews @GOP,1
88,"New @progvoice #Podcast (3/1/21):
""#Qanon #GOP Takeover, #Trump at #CPAC2021, #PresidentBiden's #Senate #Filibuster Problem"" by guest host @BradBannon with special guests @PeteMont of @RightWingWatch, @REALTaraDevlin, and @MarkJGrimaldi 
https://t.co/NAiIC4QOPF",0
89,The Epoch Times is the official outlet for promoting #Qanon conspiracy theories and here is Rep. Qed Budd(Q-NC13) promoting White washing nationalism. I don't think North Carolina voters knew what they were voting for. #ncpol https://t.co/tDZNLbvyDx,1
90,"Listen to 'Deadline D.C. with @BradBannon' today from 3-4pm ET.  I'm joined by @PeteMont to discuss what the #insurrectionists might do next and the #Qanon takeover of the #GOP.
Then, @REALTaraDevlin and @MarkJGrimaldi discuss #Trump at #CPAC2021 with me.
https://t.co/Y0fQvtXLU2",0
91,Someone needs to hire the former #qanon people on @cnn this morning to help detox other cult members. #democracy,1
92,"Dublin faces its biggest challenge as anti-lockdown supporters in their thousands are arriving in #Dublin many spouting #QAnon conspiracies
#antilockdown #ireland #graftonstreet #gardai
https://t.co/4T5IT5xBEy",1
93,The latest Officer Safety Daily! https://t.co/L1kRNwYBJq Thanks to @ARCCollective @Charles88731460 @DDIFreeman #officerdown #qanon,0
94,".@RepJimBanks claims this weekend's @GOP fan club (#CPAC2021) isn't tied to #QAnon. 

With all due respect congressman, idolizing a golden statue of Trump, peddling misinformation, and voting to overturn elections results meets that QAnon threshold. 

https://t.co/eiyyRF84i3",1
95,"From #antisemitic representations on TV to new updates on #QAnon followers, this has been an active week in the fight against #hate. Read more on some of the major stories from the past week: https://t.co/t0tQCe82x2",0
96,#Qanon out showing support for their leader/saviour. @pbpost #trump #CPAC #CPAC2021 #AmericaUnCanceled #CPACstage https://t.co/UdwX02WyV8,1
97,"How damaging was the Jan. 6 insurrection on the US capitol to the @GOP?

@GOPChairwoman to @margbrennan: ""They were damaging to our country"" 

But amid party rifts over extremism, McDaniel claims the party has been ""more vocal"" about #QAnon https://t.co/cE5K7ANSOK",1
98,"""I became all-consumed with it, but also feeling compelled to share this information. Over several months it completely replaced the way I thought and convinced me the sky was green""

@AlexG_journo spoke to Melissa Rein Lively, who escaped #QAnon

https://t.co/8iMMwlvBIB @ADL https://t.co/8e8voSb7DO",0
99,"Yesterday's debacle in Dublin was fuelled by conspiracy theory &amp; endless disinformation. It's worth considering just how regurgitated such narratives truly are: the ""organ harvesting"" trope (beloved of #QAnon &amp; many others) is just rehashed medieval anti-Semitic propaganda. https://t.co/X5tT2oN1QU",1
100,"Nowadays IT, ED raids are based on scrutiny of Twitter accounts not buisness ledger accounts? #TaxChorBollywood 
#FarmersCallBJPboycott https://t.co/9cttN3yrTF",1
101,"100 Days of India's Voice, In this 100 Days you saw Farmers Courage, Patience, Prudent, Peace.
On other hand you saw Govt's Ego, Torture &amp; Injustice. Congratulations to PM Modi for Acche Din you delivered to India. 
#FarmersCallBJPboycott
#FarmersProtests
#100DaysOfBJParrogance https://t.co/WELIghNTCk",1
102,"No media showing this !! 

Today marks 100 days of protests - farmers raising slogans at KMP expressway, Harayana.

Hope ""Hum Do, Hamare Do"" are listening to the voice of our farmers. 

#100DaysOfBJParrogance 
#FarmersCallBJPboycott https://t.co/iwMsM1IPJa",1
103,"BJP is parasite of India...
#FarmersCallBJPboycott",1
104,"Is Modi the worst PM of India ever seen ?

#100DaysOfBJParrogance
#FarmersCallBJPboycott",1
105,"100 days of protest and 248 deaths. The spirit, courage, and determination of our farmers are unbreakable! 

#FarmersCallBJPboycott",1
106,"We the people of India should stand together &amp; boycott BJP.
#FarmersCallBJPboycott",1
107,"This is truly hilarious! @nehafolksinger 

Just look at them how much they are enjoying your creation and even spreading it too widely, Proud of you sister! 

Nice concept video by @adarshanand1111 

Congratulations to all. 

#FarmersCallBJPboycott #modi_job_do #modi_rojgar_do https://t.co/t5jqojo1Rt",0
108,"We all need to boycott anti-farmers BJP.
#FarmersCallBJPboycott",1
109,"Three black farm laws not only affect farmers. 
But It affects everyone.

It's time to stand with farmers.
#जयकिसान

#100DaysOfBJParrogance
#FarmersCallBJPboycott  
@INCIndia @HKPatil1953 @NANA_PATOLE",1
110,"Over 100 days &amp; still Modi govt. has been a FAILURE in understanding the needs of the farmers  from the 3 Farm Bills. 

To intensify the ongoing protest, the farmers have urged people to boycott BJP politically. 

#FarmersCallBJPboycott #PuducherryElections2021 https://t.co/T6x41qTyAX",1
111,"A 2 year old toddler Yasmin Kaur along with 25 women protesters were arrested while refusing to remove Nishan Sahib and ‘Kisan’ flags from their vehicle. In Modi's new India, raising voice for one's rights is a heinous crime. 

#FarmersCallBJPboycott https://t.co/Nn8DqkgiEe",1
112,"“If the farmer is rich, then so is the nation.”
#FarmersCallBJPboycott https://t.co/C2ACPaQAzC",1
113,"BJP is parasite of India.
#FarmersCallBJPboycott",1
114,"We the people of India should stand together &amp; boycott BJP.
#FarmersCallBJPboycott",1
115,"It's Dangerous to be Right when the Govt is Wrong ! 
#FarmersCallBJPboycott https://t.co/kZEqh7JZjD",1
116,"BJP passed Anti Farm Laws through  back door to benefit certain Corporate Houses &amp; kept the entire Livelihood of #Farmers at Stake 
#FarmersCallBJPboycott https://t.co/MF2I00adY7",1
117,"Our youth was detained, harassed, beaten, insulted &amp; treated like animals.
Farmers have requested everyone to boycott BJP &amp; its fascist agenda in poll bound states.

#FarmersCallBJPboycott https://t.co/RxZ2TVUV4l",1
118,"It has been over 3 months, farmers are sitting on the protest. Whole world is showing solidarity with farmers but BJP is showing no interest to resolve or repeal the farm laws. We should support farmers call to boycott BJP in all state elections.
#FarmersCallBJPboycott",0
119,"We all need to boycott anti-farmers BJP.
#FarmersCallBJPboycott",1
120,"100 days of protest and 248 deaths, the spirit of Indian farmers are unbreakable! Salute to this courage and determination.

#FarmersCallBJPboycott https://t.co/Oku6LtGLuI",1
121,"Today agitating Indian farmers to block KMP expressway for 5 hours to mark 100 days of protest.

#FarmersCallBJPboycott https://t.co/gVPG9e2S8r",0
122,"When @pradip103 did first chaupal there, people of Nandigram told him Didi is in for a tough fight. With Suvendu's official entry, the fight gets more interesting. Who will win #Nandigram? 

#PradeepInBengal #DidiVsDada #SuvenduVsMamata #BengalElection2021 https://t.co/D5sQ05zl3p",0
123,"Congress announces first list of 13 candidates for West Bengal elections

#WestBengalElections2021
#BengalElection2021

https://t.co/Fk4IUTbtfv",0
124,Who will #Nandigram in #BengalElection2021,0
125,"Hon Prime Minister Shri Narendra Modi will address the BRIGADE CHOLO RALLY, on 7th March 2021, at Brigade Parade, Kolkata at 2PM.

Watch and listen live at the given site.

#BengalElection2021 
#BrigadeChalo 
#TransformingIndia https://t.co/tcP84iO1bU",0
126,"Dear people of Bengal, this election brings you the opportunity to topple the Gundaraj TMC govt. Gather in massive numbers tomorrow in #PMRally and make it the BIGGEST POLITICAL RALLY of the decade.
@narendramodi
#BengalElection2021",1
127,"Tomorrow India will witness BIGGEST POLITICAL RALLY in history. 
12-15 lakh people are expected to attend #PmModi public meeting at Iconic Brigade ground of Kolkata..  Few icons of bengal might join the party as well.. Watch out for tomorrow. #BengalElection2021",1
128,"Together they played many memorable matches for Bengal in domestic cricket, but @tiwarymanoj &amp; @dindaashoke are now on a different pitch. They are contesting from #TMC &amp; #BJP in #BengalElection2021 

#CricketInPolls
#BengalElections2021",0
129,"#Bengal|  Why is @AITCofficial  criticizing its former Rajya Sabha member MP @DinTri? 
@BJP4India #Assemblyelections2021 #BengalElection2021 

https://t.co/YZZa3Dri7E",1
130,"The BJP’s approach for the state’s Hindi-speaking Hindus is to bring up the TMC’s “attack” on outsiders...The TMC’s rebuttal is to highlight its ideals of pluralism and how the government has promoted education in Hindi.

✍️@snigspeak #BengalElection2021 

https://t.co/M0Za9CzeTM",1
131,"Sources tell JAN KI BAAT that Suvendu Adhikari's father Shishir Adhikari who is a Trinamool Congress MP from Kanthi could be present on stage at #PMBrigadeRally 

@pradip103 

#BengalElection2021 #ElectionsWithPradeep https://t.co/V5usSddfNu",1
132,"Breaking now! 

@BJP4India to announce its first list of candidates for two phases of #BengalElection2021 at 6:30pm this evening. 

@IndiaToday",0
133,"There is a huge difference b/w expectation &amp; reality. 

This is life.

Khela cholche, khela hobe.😜

#বিজেমূল #BengalElection2021 #জোটেভোট https://t.co/zYqQbRDIXl",0
134,"This is the story of a political box that's travelling across West Bengal, soliciting responses &amp; suggestions from the people of the state to make Bengal #SonarBangla. This is how the BJP is making its #manifesto for #BengalElection2021

@pradip103 

#ElectionsWithPradeep https://t.co/Dd08vrdchN",1
135,"Pradeep Bhandari is live with Ishkaran Bhandari on YouTube. Watch the conversation live, here's the link

https://t.co/NOoQ5RwEJv

@ishkarnBHANDARI @pradip103 

#BengalElection2021 https://t.co/3HcTMKJxhT",0
136,"Me and my team had lunch at a humble lunch home in Birbhum's Santhia. Four of us enjoyed having simple vegetarian thali which had Bhaat, Dal, Alu Posto, Datar torkari, Mishti Tomato chutney, papod &amp; omlette. Here's how much we paid for this wonderful meal #BengalElection2021 https://t.co/ywVX2LrEvx",0
137,"A hearty welcome and congratulations to Shri @DinTri ji on joining @BJP4India 
Wishing you all the very best for #BengalElection2021. 
#BengalwithBJP https://t.co/WSZ4URY13n",0
138,"Ex Tmc Rajya Sabha member and a well known personality from Bengal Dinesh Trivedi ji joins BJP... 

#DineshTrivedi #Bjp #BengalElection2021 #BengalElections2021",0
139,"#BengalElection2021: #BJP might release its first list of candidates today
https://t.co/0hfvNIbIQr",0
140,"#MithunChakraborty likely to join @BJP4India during PM @narendramodi's rally in #Kolkata on March 7: Sources l By @aritrasingha1 

#FPJPollWatch #WestBengalElections2021 #BengalElection2021 

@BJP4Bengal  
https://t.co/ASRdbRfmQF",1
141,"Mamata Banerjee on Friday announced the candidates in all but three of the 294 seats in Bengal, calling the impending battle for Bengal a “smiley poll” in which her party would “khelenge, larenge, jeetenge (play, fight and win)”.

#BengalElection2021

https://t.co/VrkbAizPGJ",1
142,"For decades @INCIndia and @CPIM_WESTBENGAL have only abused each other and now they are collaborating to fight @BJP4India and @narendramodi Ji. That is huge. And tells a tale of how big is @BJP4India. People, let's vote and vote out anarchy in our state. #BengalElection2021",1
143,"Lighter moments of our election coverage: Who does it better? Uday Shetty or Pradeep Bhandari?

@pradip103 

#BengalElection2021 #PradeepInBengal https://t.co/EUoNcx2sxi",1
144,"#BengalElection2021: Trinamool Congress' full list of candidates

https://t.co/0xQ2Sxh6CY https://t.co/cpr2jrsTio",0
145,So @MamataOfficial sticks to her promise to contest from Nandigram where it all began in a way for her. Big Qs now: will her one time lieutenant @SuvenduWB take on Didi on home turf? https://t.co/9cG03GPtde #BengalElection2021,0
146,"TMC announces the first list of candidates for the upcoming West Bengal Assembly Elections.

@_pallavighosh share details with @ShivaniGupta_5: https://t.co/c01bbfgzP7

#BengalElection2021 #WestBengalElections2021 

https://t.co/tHdL6eaSyP",0
147,"#Nandigram readies for @MamataOfficial vs @SuvenduWB contest.
#WestBengalElections2021 
#BengalElection2021 @AITCofficial @BJP4Bengal @BJP4India 
Read here: 
https://t.co/3uXQJI1SN2",0
148,"Not only creating impact but also setting the agenda. JAN KI BAAT is your choice, JAN KI BAAT is your trust. We thank you a million plus times

@pradip103 

#BengalElection2021 #PradeepInBengal https://t.co/2kYpCQZbFV",0
149,"Exclusive: Yogi Adityanath asks Bengal voters to unseat those who are opposing Ram 

#BengalElection2021 #YogiAdityanath

 Watch #AajKiBaat with @RajatSharmaLive @indiatvnews https://t.co/kLLzeWpCKu",1
150,"Uttar Pradesh Chief Minister Yogi Adityanath campaigns in #WestBengal's Malda, a known Congress stronghold. NDTV's Saurabh Gupta reports

#BengalElection2021 https://t.co/I0QtXq0mKj",0
151,"2 scenarios for Left-Congress alliance in #BengalElection2021,by @rahul_tverma:
-If anti-incumbency factor works, then their role could be decisive in a hung Assembly situation 
-There'll be direct contest b/w TMC &amp; BJP where alliance could be marginalised https://t.co/qaMmLjmhkA",1
152,".@RepKarenBass on GOP opposition to #CovidReliefBill:   

Q: Are you suggesting Republicans are concerned about deficits when Dems are President but not as much when Republicans are?

@KarenBassTweets: ""I don't want to suggest that. I want to say that. Clearly. That's the case."" https://t.co/PtnOaXdns3",0
153,Are y'all ready for your Stimmy?! #CovidReliefBill #CovidVaccine  https://t.co/X5iYwvb90r,0
